Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
P27.5_E35_S250_PosIL_H125,35,27.5,250,IL,2.39074,0.454262,30.25,3.85,0.62
P27.5_E35_S275_PosCL_H125,35,27.5,275,CL,1.11539,1.23113,30.25,3.85,0.29
P27.5_E35_S275_PosEL_H125,35,27.5,275,EL,3.11385,0.688948,30.25,3.85,0.81
P27.5_E35_S275_PosIL_H125,35,27.5,275,IL,2.37877,0.453941,30.25,3.85,0.62
P27.5_E35_S300_PosCL_H125,35,27.5,300,CL,1.11199,1.22005,30.25,3.85,0.29
P27.5_E35_S300_PosEL_H125,35,27.5,300,EL,3.09888,0.687759,30.25,3.85,0.80
P27.5_E35_S300_PosIL_H125,35,27.5,300,IL,2.36698,0.453624,30.25,3.85,0.61
P30_E35_S200_PosCL_H125,35,30,200,CL,1.2053,1.28834,36,4.2,0.29
P30_E35_S200_PosEL_H125,35,30,200,EL,3.36065,0.727738,36,4.2,0.80
P30_E35_S200_PosIL_H125,35,30,200,IL,2.61471,0.471018,36,4.2,0.62
P30_E35_S225_PosCL_H125,35,30,225,CL,1.20127,1.27592,36,4.2,0.29
P30_E35_S225_PosEL_H125,35,30,225,EL,3.34366,0.726353,36,4.2,0.80
P30_E35_S225_PosIL_H125,35,30,225,IL,2.60117,0.470641,36,4.2,0.62
P30_E35_S250_PosCL_H125,35,30,250,CL,1.19733,1.26392,36,4.2,0.29
P30_E35_S250_PosEL_H125,35,30,250,EL,3.32693,0.724986,36,4.2,0.79
P30_E35_S250_PosIL_H125,35,30,250,IL,2.58783,0.470269,36,4.2,0.62
P30_E35_S275_PosCL_H125,35,30,275,CL,1.19348,1.25234,36,4.2,0.28
P30_E35_S275_PosEL_H125,35,30,275,EL,3.31045,0.723636,36,4.2,0.79
P30_E35_S275_PosIL_H125,35,30,275,IL,2.57468,0.469901,36,4.2,0.61
P30_E35_S300_PosCL_H125,35,30,300,CL,1.18972,1.24115,36,4.2,0.28
P30_E35_S300_PosEL_H125,35,30,300,EL,3.29421,0.722302,36,4.2,0.78
P30_E35_S300_PosIL_H125,35,30,300,IL,2.56172,0.469539,36,4.2,0.61
