Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
P30_E20_S225_PosCL_H125,20,30,225,CL,1.17608,1.20202,36,4.2,0.28
P30_E20_S225_PosEL_H125,20,30,225,EL,3.23424,0.717403,36,4.2,0.77
P30_E20_S225_PosIL_H125,20,30,225,IL,2.51392,0.468213,36,4.2,0.60
P30_E20_S250_PosCL_H125,20,30,250,CL,1.1702,1.18542,36,4.2,0.28
P30_E20_S250_PosEL_H125,20,30,250,EL,3.20788,0.71521,36,4.2,0.76
P30_E20_S250_PosIL_H125,20,30,250,IL,2.49289,0.46762,36,4.2,0.59
P30_E20_S275_PosCL_H125,20,30,275,CL,1.16496,1.16966,36,4.2,0.28
P30_E20_S275_PosEL_H125,20,30,275,EL,3.18215,0.713063,36,4.2,0.76
P30_E20_S275_PosIL_H125,20,30,275,IL,2.47235,0.467039,36,4.2,0.59
P30_E20_S300_PosCL_H125,20,30,300,CL,1.16015,1.1547,36,4.2,0.28
P30_E20_S300_PosEL_H125,20,30,300,EL,3.15703,0.710958,36,4.2,0.75
P30_E20_S300_PosIL_H125,20,30,300,IL,2.45229,0.46647,36,4.2,0.58
P20_E25_S200_PosCL_H125,25,20,200,CL,0.872937,1.0626,16,2.8,0.31
P20_E25_S200_PosEL_H125,25,20,200,EL,2.49393,0.600288,16,2.8,0.89
P20_E25_S200_PosIL_H125,25,20,200,IL,1.81554,0.424303,16,2.8,0.65
P20_E25_S225_PosCL_H125,25,20,225,CL,0.868949,1.05018,16,2.8,0.31
P20_E25_S225_PosEL_H125,25,20,225,EL,2.47805,0.59947,16,2.8,0.89
P20_E25_S225_PosIL_H125,25,20,225,IL,1.80353,0.423902,16,2.8,0.64
P20_E25_S250_PosCL_H125,25,20,250,CL,0.865118,1.03832,16,2.8,0.31
P20_E25_S250_PosEL_H125,25,20,250,EL,2.46249,0.598666,16,2.8,0.88
P20_E25_S250_PosIL_H125,25,20,250,IL,1.79176,0.423507,16,2.8,0.64
P20_E25_S275_PosCL_H125,25,20,275,CL,0.861437,1.02698,16,2.8,0.31
P20_E25_S275_PosEL_H125,25,20,275,EL,2.44724,0.597875,16,2.8,0.87
P20_E25_S275_PosIL_H125,25,20,275,IL,1.78021,0.423118,16,2.8,0.64
P20_E25_S300_PosCL_H125,25,20,300,CL,0.857896,1.01613,16,2.8,0.31
P20_E25_S300_PosEL_H125,25,20,300,EL,2.43229,0.597097,16,2.8,0.87
P20_E25_S300_PosIL_H125,25,20,300,IL,1.7689,0.422736,16,2.8,0.63
P22.5_E25_S200_PosCL_H125,25,22.5,200,CL,0.953747,1.07506,20.25,3.15,0.30
P22.5_E25_S200_PosEL_H125,25,22.5,200,EL,2.72858,0.624967,20.25,3.15,0.87
P22.5_E25_S200_PosIL_H125,25,22.5,200,IL,2.01969,0.443617,20.25,3.15,0.64
P22.5_E25_S225_PosCL_H125,25,22.5,225,CL,0.949382,1.06178,20.25,3.15,0.30
P22.5_E25_S225_PosEL_H125,25,22.5,225,EL,2.7109,0.623674,20.25,3.15,0.86
P22.5_E25_S225_PosIL_H125,25,22.5,225,IL,2.00607,0.443154,20.25,3.15,0.64
P22.5_E25_S250_PosCL_H125,25,22.5,250,CL,0.945181,1.04911,20.25,3.15,0.30
P22.5_E25_S250_PosEL_H125,25,22.5,250,EL,2.69359,0.622402,20.25,3.15,0.86
P22.5_E25_S250_PosIL_H125,25,22.5,250,IL,1.99272,0.442699,20.25,3.15,0.63
P22.5_E25_S275_PosCL_H125,25,22.5,275,CL,0.941135,1.03698,20.25,3.15,0.30
P22.5_E25_S275_PosEL_H125,25,22.5,275,EL,2.67662,0.621151,20.25,3.15,0.85
P22.5_E25_S275_PosIL_H125,25,22.5,275,IL,1.97963,0.442251,20.25,3.15,0.63
P22.5_E25_S300_PosCL_H125,25,22.5,300,CL,0.937235,1.02538,20.25,3.15,0.30
