,Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
272,P27.5_E35_S200_PosIL_H60,35,27.5,200,IL,8.28022,0.74919,49,4.9,1.69
273,P27.5_E35_S225_PosCL_H60,35,27.5,225,CL,4.41664,2.81926,49,4.9,0.90
274,P27.5_E35_S225_PosEL_H60,35,27.5,225,EL,10.6764,1.65422,49,4.9,2.18
275,P27.5_E35_S225_PosIL_H60,35,27.5,225,IL,8.06977,0.743286,49,4.9,1.65
276,P27.5_E35_S250_PosCL_H60,35,27.5,250,CL,4.38099,2.73532,49,4.9,0.89
277,P27.5_E35_S250_PosEL_H60,35,27.5,250,EL,10.4265,1.63527,49,4.9,2.13
278,P27.5_E35_S250_PosIL_H60,35,27.5,250,IL,7.87585,0.73776,49,4.9,1.61
279,P27.5_E35_S275_PosCL_H60,35,27.5,275,CL,4.34886,2.66018,49,4.9,0.89
280,P27.5_E35_S275_PosEL_H60,35,27.5,275,EL,10.1948,1.61747,49,4.9,2.08
281,P27.5_E35_S275_PosIL_H60,35,27.5,275,IL,7.69651,0.732572,49,4.9,1.57
282,P27.5_E35_S300_PosCL_H60,35,27.5,300,CL,4.32227,2.59239,49,4.9,0.88
283,P27.5_E35_S300_PosEL_H60,35,27.5,300,EL,9.97929,1.60069,49,4.9,2.04
284,P27.5_E35_S300_PosIL_H60,35,27.5,300,IL,7.53008,0.727687,49,4.9,1.54
285,P30_E35_S200_PosCL_H60,35,30,200,CL,4.75286,2.85886,49,4.9,0.97
286,P30_E35_S200_PosEL_H60,35,30,200,EL,11.5022,1.75013,49,4.9,2.35
287,P30_E35_S200_PosIL_H60,35,30,200,IL,8.89898,0.780536,49,4.9,1.82
288,P30_E35_S225_PosCL_H60,35,30,225,CL,4.70926,2.76659,49,4.9,0.96
289,P30_E35_S225_PosEL_H60,35,30,225,EL,11.2098,1.73192,49,4.9,2.29
290,P30_E35_S225_PosIL_H60,35,30,225,IL,8.66616,0.77557,49,4.9,1.77
291,P30_E35_S250_PosCL_H60,35,30,250,CL,4.66994,2.68474,49,4.9,0.95
292,P30_E35_S250_PosEL_H60,35,30,250,EL,10.9397,1.71485,49,4.9,2.23
293,P30_E35_S250_PosIL_H60,35,30,250,IL,8.45158,0.770939,49,4.9,1.72
294,P30_E35_S275_PosCL_H60,35,30,275,CL,4.63424,2.61148,49,4.9,0.95
295,P30_E35_S275_PosEL_H60,35,30,275,EL,10.6894,1.69879,49,4.9,2.18
296,P30_E35_S275_PosIL_H60,35,30,275,IL,8.25305,0.766602,49,4.9,1.68
297,P30_E35_S300_PosCL_H60,35,30,300,CL,4.6016,2.54541,49,4.9,0.94
298,P30_E35_S300_PosEL_H60,35,30,300,EL,10.4567,1.68363,49,4.9,2.13
299,P30_E35_S300_PosIL_H60,35,30,300,IL,8.06877,0.762528,49,4.9,1.65
